#			Aloha 											CSMA   (ms)
#N		Cinf		M				Csup		Cinf			M			Csup
10		0.164		0.169		0.173		0.167		0.173		0.178		
100		0.190		0.192		0.194		0.198		0.200		0.202
250		0.208		0.213		0.218		0.225		0.229		0.233
500		0.249		0.259		0.269		0.260		0.264		0.268
750		0.382		0.401		0.419		0.325		0.334		0.343
1000	0.570		0.595		0.620		0.409		0.440		0.472
1250	0.916		0.937		0.958		1.019		1.353		1.688
1500	1.017		1.036		1.055		50.10		50.73		51.36		
1750	0.952		0.978		1.003		40.98		41.52		42.06
2000	0.871		0.893		0.915		35.13		35.66		36.18
