#			Aloha 											CSMA   											Aloha No Ack		(ms)
#N		Cinf		M				Csup		Cinf			M			Csup				Cinf			M			Csup
10		0.202		0.205		0.208		0.202		0.206		0.209				0.205		0.205		0.205	
100		0.231		0.232		0.234		0.235		0.237		0.239				0.225		0.225		0.226
250		0.250		0.255		0.260		0.265		0.269		0.272				0.221		0.223		0.224
500		0.290		0.300		0.310		0.308		0.312		0.317				0.212		0.213		0.215
750		0.423		0.438		0.453		0.395		0.406		0.416				0.197		0.198		0.200
1000	0.587		0.610		0.633		0.514		0.552		0.589				0.183		0.185		0.187
1250	0.852		0.871		0.889		1.325		1.846		2.368				0.168		0.169		0.170	
1500	0.898		0.919		0.941		59.54		65.36		71.17				0.152		0.153		0.154
1750	0.835		0.856		0.876		125.58	128.22	130.85			0.152		0.153		0.154	
2000	0.735		0.752		0.770		154.96	156.92	158.88			0.152		0.153		0.154 
3000	0.445		0.458		0.472		204.68	205.75	206.81			0.152		0.153		0.154
4000	0.330		0.337		0.344		212.22	213.85	215.47			0.152		0.153		0.154
5000	0.253		0.262		0.271		208.79	210.36	211.93			0.152		0.153		0.154	
6000	0.208		0.214		0.219		203.82	205.31	206.80			0.152		0.153		0.154	
#7000

#pour avoir le Aloha avec k=3 il suffit de bloquer les ack et mettre M=3 et le AckTimeOut à 0 seconde :D
