#			Aloha 											CSMA   (ms)
#N		Cinf		M				Csup		Cinf			M			Csup
10		9.56	9.82	10.08			9.73	10.05	10.36
100		11.05	11.15	11.25			11.48	11.62	11.76
250		12.76	13.48	14.19			13.09	13.31	13.53
500		16.81	17.80	18.80			15.11	15.34	15.56
750		31.14	33.41	35.67			18.89	19.04	19.90
1000	56.38	61.48	66.59			23.73	25.56	27.38
1250	124.47	127.28	130.09	59.08	79.36	99.63
1500	169.41	171.37	173.33	12738.49	12863.65	12988.82	
1750	195.46	197.70	199.93	15173.32	15254.76	15336.21
2000	208.70	209.59	210.49	16752.03	16851.48	16950.93
