#			Aloha 											CSMA   											Aloha No Ack			(ms)
#N		Cinf		M				Csup		Cinf			M			Csup			Cinf			M			Csup
10		10.86		10.95		11.03		10.87		10.97		11.07		5.950		5.950		5.950	
100		12.71		12.75		12.79		12.82		12.88		12.93		6.545		6.545		6.545	
250		13.68		14.04		14.40		13.70		13.81		13.91		6.585		6.585		6.585	
500		15.92	  16.53		17.13		14.93		15.06		15.19		6.598		6.598		6.598	
750		23.86		25.04		26.22		17.47		17.77		18.07		6.603		6.603		6.603	
1000	36.70		39.43		45.16		20.91		22.00		23.10		6.605		6.605		6.605	
1250	69.90		70.84		71.78		42.39		59.90		75.40		6.606		6.606		6.606			
1500	84.84		85.57		86.30		2033.60		2258.63		2483.65		6.607		6.607		6.607
1750	97.08		97.98		98.87		4441.19		4537.08		4632.98		6.608		6.608		6.608
2000	103.93	104.34	104.34	5508.37		5577.32		5646.28		6.608		6.608		6.608
3000	114.95	115.16	115.37	7755.70		7789.22		7822.74		6.609		6.609		6.609
4000	119.17	119.46	119.75	8948.34		8973.56		8998.78		6.610		6.610		6.610
5000	122.19	122.36	122.53	9828.72		9852.91		9877.10		6.610		6.610		6.610	
6000	124.13	124.24	124.35	10515.43	10533.29	10551.14		6.610		6.610		6.610
#7000	
