#			Aloha 											CSMA   
#N		Cinf		M				Csup		Cinf			M			Csup
10		0.000		0.005		0.110		0.000		0.000		0.000
100		0.162		0.255		0.348		0.074		0.078		0.082
250		3.401		3.583		3.765		0.245		0.255		0.265
500		5.426		5.515		5.649		3.986		4.030		4.074
750		5.676		5.765		5.899		4.932		4.952		4.972
1000	5.926		6.015		6.149		5.628		5.644		5.660
1250	6.176		6.265		6.399		5.738		5.752		5.766
1500	6.301		6.390		6.524		5.838		5.852		5.866
1750	6.426		6.515		6.649		5.993		6.001		6.010
2000	6.755		6.767		6.779		6.293		6.301		6.310
