#			Aloha 											CSMA   									Aloha No Ack
#N		Cinf		M				Csup		Cinf			M			Csup		Cinf			M			Csup
10		1.0		1.0		1.0		1.0		1.0		1.0		1.0		1.0		1.0
100		0.989		0.994		0.999		0.989		0.994		0.999		0.997	 0.998	1.000
250		0.900		0.927		0.953		0.990		0.992		0.994		0.976	 0.981	0.986
500		0.775		0.808		0.841		0.983		0.984		0.985		0.933	 0.939	0.945
750		0.529		0.556		0.584		0.970		0.972		0.974		0.866	 0.873	0.880
1000	0.316		0.346		0.376		0.949		0.954		0.959		0.807	 0.816	0.824
1250	0.142		0.145		0.149		0.817		0.844		0.871		0.741	 0.746	0.750
1500	0.079		0.081		0.083		0.271		0.288		0.305		0.672	 0.677	0.683
1750	0.051		0.053		0.055		0.170		0.174		0.178		0.614	 0.620	0.625
2000	0.040		0.041		0.042		0.138		0.140		0.142		0.549	 0.554	0.559
3000 	0.021		0.022		0.022		0.085	 0.086	 0.087		0.379	 0.380	0.382
4000 	0.015		0.016		0.016		0.064	 0.064	 0.065		0.276	 0.279	0.282
5000 	0.012		0.012		0.012		0.051	 0.052	 0.052		0.210	 0.212	0.215
6000 	0.010		0.010		0.010		0.044	 0.044	 0.044		0.169	 0.170	0.171
#7000 													0.037	 0.038	 0.038
