#			Aloha 											CSMA   									Aloha No Ack
#N		Cinf		M				Csup		Cinf			M			Csup		Cinf			M			Csup
10		1.0		1.0		1.0			1.0		1.0		1.0		1.0		1.0		1.0	
100		1.0		1.0		1.0			1.0		1.0		1.0		0.997	 0.998	1.000
250		0.987 0.991	0.995		1.0		1.0		1.0		0.976	 0.981	0.986
500		0.958	0.965	0.971		0.999	0.999	0.999		0.933	 0.939	0.945
750		0.900	0.910	0.920		0.989	0.989	0.989		0.866	 0.873	0.880
1000	0.785	0.807	0.829		0.979	0.982	0.985		0.807	 0.816	0.824
1250	0.557	0.564	0.571		0.969	0.972	0.975		0.741	 0.746	0.750
1500	0.375	0.381	0.387		0.885	0.90	0.915	0.672	 0.677	0.683
1750	0.266	0.274	0.282		0.71	0.72	0.73	0.614	 0.620	0.625
2000	0.214	0.218	0.222		0.596	0.602	0.608	0.549	 0.554	0.559
3000 	0.127	0.131	0.134		0.413 0.417	0.421	0.379	 0.380	0.382
4000 	0.090	0.093	0.097		0.315 0.318 0.320	0.276	 0.279	0.282
5000 	0.069	0.071	0.072		0.252 0.254	0.256	0.210	 0.212	0.215
6000 	0.057	0.058	0.059		0.200	0.202	0.203	0.169	 0.170	0.171
#7000 											0.236	0.237	0.238
